species_valid_name	species_code	collection_period	collection_era	collection_site_individuals	collection_site_lot	site_id	match_id	num_records
Spratelloides_gracillis	NA	Contemporary	Contemporary	Panglima_Tahil,_Jolo	Panglima_Tahil,_Jolo	Jol	Jolo	96
Atherinomorus_duodecimalis	NA	Albatross	Albatross	Malcochin_Harbor	Malcochin_Harbor	Lin	Lina	16
Atherinomorus_endrachtensis	Aen	Albatross	Albatross	Malcochin_Harbor	Malcochin_Harbor	Lin	Lina	8
Leiognathus_equula	Leq	Albatross	Albatross	Malcochin_Harbor	Malcochin_Harbor	Lin	Lina	32
Atherinomorus_duodecimalis	NA	Contemporary	Contemporary	NA	Malampaya, Palawan	Mal	Mala	96
Spratelloides_delicatulus	Sde	Albatross	Albatross	Bolalo_Bay	Bolalo_Bay	Bol	Mala	96
Spratelloides_delicatulus	Sde	Contemporary	Contemporary	Malampaya	Malampaya, Palawan	Mal	Mala	69
Leiognathus_leuciscus	NA	Albatross	Albatross	Mantaguin_Bay	Mantaguin_Bay	Mnt	Mant	50
Atherinomorus_endrachtensis	Aen	Albatross	Albatross	Port_Matalvi_reef_Masinloc	Port_Matalvi_reef	Mvi	Masi	3
Herklotsichithys_quadrimaculatus	NA	Contemporary	Contemporary	Mansiloc_Public_Market	Masinloc_Public_Market	Mvi	Masi	37
Herklotsichthys_quadrimaculatus	Hqu	Albatross	Albatross	Port_Matalvi	Port_Matalvi_reef	Mvi	Masi	59
Hypoatherina_temminckii	Hte	Albatross	Albatross	Port_Matalvi_reef	Port_Matalvi_reef	Mvi	Masi	14
Hypoatherina_temminckii	Hte	Albatross	Albatross	Port_Matalvi_reef_Masinloc	Port_Matalvi_reef	Mvi	Masi	47
Hypoatherina_temminckii	Hte	Contemporary	Contemporary	Mansiloc_Public_Market	Masinloc_Public_Market	Mvi	Masi	96
Plotosus lineatus	NA	NA	Albatross	Luzon	Port_Matalvi_reef	Mvi	Masi	96
Plotosus_lineatus	Pli	Albatross	Albatross	Port_Matalvi_reef	Port_Matalvi_reef	Mvi	Masi	3
Spratelloides_gracilis	Sgr	Albatross	Albatross	Port_Matalvi_reef_Masinloc	Port_Matalvi_reef	Mvi	Masi	96
Spratelloides_gracilis	Sgr	Contemporary	Contemporary	Masinloc_Public_Market	Masinloc_Public_Market	Mvi	Masi	96
Taeniamia_zosterophora	Tzo	Albatross	Albatross	Port_Matalvi_reef_Masinloc	Port_Matalvi_reef	Mvi	Masi	48
Taeniamia_zosterophora	Tzo	Contemporary	Contemporary	Masinloc_Public_Market	Masinloc_Bay_South_Poblacion	Mvi	Masi	96
Atherinomorus_duodecimalis	NA	Albatross	Albatross	Matnog_Bay	Matnog_Bay	Mat	MatB	79
Atherinomorus_duodecimalis	NA	Contemporary	Contemporary	Matnog_Bay	Matnog_Bay	Mat	MatB	96
Atherinomorus_endractensis	NA	Albatross	Albatross	Matnog_Bay	Matnog_Bay	Mat	MatB	4
Hypoatherina	NA	Albatross	Albatross	Matnog_Bay	Matnog_Bay	Mat	MatB	7
